type	latitude	longitude	altitude (m)	name	desc	m.data
W	38.238900000	-108.790900000	1990.9		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Mary Ann Mine</td></tr></table>	Mary Ann Mine
W	38.231500000	-108.810100000	1938.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Prospect</td></tr></table>	Prospect
W	38.241700000	-108.790600000	2008.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Uranus</td></tr></table>	Uranus
W	38.246000000	-108.807600000	1940.8		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Pluto</td></tr></table>	Pluto
W	38.244100000	-108.798500000	1986.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Canopus</td></tr></table>	Canopus
W	38.241300000	-108.802500000	1962.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Capella</td></tr></table>	Capella
W	38.243100000	-108.814400000	1847.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Wildsteer Mines</td></tr></table>	Wildsteer Mines
W	38.229600000	-108.762600000	1983.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Aztec</td></tr></table>	Aztec
W	38.031200000	-108.064800000	2384.8		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Black King Mine</td></tr></table>	Black King Mine
W	38.381600000	-108.786000000	1744.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Margie #2</td></tr></table>	Margie #2
W	38.373700000	-108.792500000	1797.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Sob</td></tr></table>	Sob
W	38.373000000	-108.794100000	1793.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Buck Shot Group</td></tr></table>	Buck Shot Group
W	38.372100000	-108.794900000	1801.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Buck Shot Mine</td></tr></table>	Buck Shot Mine
W	38.373400000	-108.793000000	1801.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Propect</td></tr></table>	Propect
W	38.354900000	-108.788300000	1801.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Tramp #2 Group</td></tr></table>	Tramp #2 Group
W	38.359600000	-108.799600000	1823.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Prospect #1</td></tr></table>	Prospect #1
W	38.356100000	-108.787300000	1841.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Prospect #2</td></tr></table>	Prospect #2
W	38.351800000	-108.788000000	1800.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Prospect #3</td></tr></table>	Prospect #3
W	38.320000000	-108.778100000	1970.9		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Ds Shaft</td></tr></table>	Ds Shaft
W	38.325300000	-108.773600000	1924.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown #1</td></tr></table>	Unknown #1
W	38.327100000	-108.771600000	1894.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown #2</td></tr></table>	Unknown #2
W	38.327400000	-108.772000000	1896.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown #3</td></tr></table>	Unknown #3
W	38.320500000	-108.780400000	1989.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Prospect</td></tr></table>	Prospect
W	38.356700000	-108.763900000	1832.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Lasalle</td></tr></table>	Lasalle
W	38.305700000	-108.737600000	1947.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Virgin</td></tr></table>	Virgin
W	38.304200000	-108.754000000	1989.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Cripple Creek Group</td></tr></table>	Cripple Creek Group
W	38.306700000	-108.754500000	1951.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Cripple Creek Group</td></tr></table>	Cripple Creek Group
W	38.319500000	-108.797600000	2048.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>C&d Exploration</td></tr></table>	C&d Exploration
W	38.318400000	-108.790800000	2066.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Floyd Mine No.22</td></tr></table>	Floyd Mine No.22
W	38.317500000	-108.789400000	2050.7		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Floyd Mine No.21</td></tr></table>	Floyd Mine No.21
W	38.318400000	-108.789100000	2046.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Floyd Mine No.20</td></tr></table>	Floyd Mine No.20
W	38.319200000	-108.788500000	2028.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Prospect No.4</td></tr></table>	Prospect No.4
W	38.296400000	-108.746800000	1977.8		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Prospect No.5</td></tr></table>	Prospect No.5
W	38.296000000	-108.747000000	1981.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Floyd No. 7</td></tr></table>	Floyd No. 7
W	38.295100000	-108.747500000	1985.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Floyd No. 10</td></tr></table>	Floyd No. 10
W	38.293700000	-108.748500000	1995.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Prospects 6 & 8</td></tr></table>	Prospects 6 & 8
W	38.293400000	-108.749200000	2000.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown No.9</td></tr></table>	Unknown No.9
W	38.320200000	-108.767300000	1933.9		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Cfc Mine</td></tr></table>	Cfc Mine
W	38.320200000	-108.767800000	1940.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Lower Cfc Mines</td></tr></table>	Lower Cfc Mines
W	38.320700000	-108.766100000	1940.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Firebird Mine</td></tr></table>	Firebird Mine
W	38.320900000	-108.767000000	1926.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Firebird Mine Group</td></tr></table>	Firebird Mine Group
W	38.320400000	-108.765500000	1948.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Firebird Prospect</td></tr></table>	Firebird Prospect
W	38.320500000	-108.770600000	1944.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Firebird Prospect</td></tr></table>	Firebird Prospect
W	38.302400000	-108.769000000	2071.7		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Long Park Prospects (5)</td></tr></table>	Long Park Prospects (5)
W	38.302200000	-108.768400000	2069.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Long Park Prospects (3)</td></tr></table>	Long Park Prospects (3)
W	38.359500000	-108.758600000	1772.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Mill No.2 Mine</td></tr></table>	Mill No.2 Mine
W	38.381900000	-108.787700000	1741.7		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Raven Mine</td></tr></table>	Raven Mine
W	38.371100000	-108.788900000	1819.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Long Park Group</td></tr></table>	Long Park Group
W	38.372100000	-108.792300000	1808.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Long Park Group</td></tr></table>	Long Park Group
W	38.369300000	-108.791700000	1832.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Long Park Group</td></tr></table>	Long Park Group
W	38.356200000	-108.787900000	1830.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Tramp No.2 Mine</td></tr></table>	Tramp No.2 Mine
W	38.347000000	-108.778700000	1860.8		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Us Grant</td></tr></table>	Us Grant
W	38.358500000	-108.780100000	1950.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>La Salle Group</td></tr></table>	La Salle Group
W	38.356300000	-108.775300000	1938.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>La Salle Group</td></tr></table>	La Salle Group
W	38.360100000	-108.768600000	1834.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>La Salle Group</td></tr></table>	La Salle Group
W	38.355900000	-108.758200000	1786.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Club No.7 Mine</td></tr></table>	Club No.7 Mine
W	38.360300000	-108.763200000	1817.7		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>La Salle Group</td></tr></table>	La Salle Group
W	38.308800000	-108.760800000	1981.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Vanadium King No.2</td></tr></table>	Vanadium King No.2
W	38.305300000	-108.751200000	1991.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Cripple Creek No.2</td></tr></table>	Cripple Creek No.2
W	38.317700000	-108.799700000	2072.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Long Park Group</td></tr></table>	Long Park Group
W	38.318300000	-108.797800000	2057.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Long Park Group</td></tr></table>	Long Park Group
W	38.336300000	-108.742600000	1841.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Air Vents</td></tr></table>	Air Vents
W	38.337300000	-108.740000000	1817.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Sunbeam Group</td></tr></table>	Sunbeam Group
W	38.335500000	-108.735800000	1780.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Sunbeam Mine M-77-290</td></tr></table>	Sunbeam Mine M-77-290
W	38.335100000	-108.732400000	1744.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Forty-five Ninety Mine</td></tr></table>	Forty-five Ninety Mine
W	38.341800000	-108.733900000	1718.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Rex 36 Mine</td></tr></table>	Rex 36 Mine
W	38.344100000	-108.732200000	1712.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Eagle 3 Mine</td></tr></table>	Eagle 3 Mine
W	38.319300000	-108.767100000	1941.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Groundhog Group</td></tr></table>	Groundhog Group
W	38.319500000	-108.766500000	1938.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Groundhog Group</td></tr></table>	Groundhog Group
W	38.319900000	-108.765300000	1953.8		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Groundhog Group</td></tr></table>	Groundhog Group
W	38.320400000	-108.765100000	1952.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Groundhog Group</td></tr></table>	Groundhog Group
W	38.320500000	-108.766500000	1934.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Firebird Mine</td></tr></table>	Firebird Mine
W	38.321200000	-108.765600000	1953.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Firebird Group</td></tr></table>	Firebird Group
W	38.321100000	-108.766400000	1937.8		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Firebird Group</td></tr></table>	Firebird Group
