"","lU","X.Average.Longitude","Average.Latitude","uEl","uin01","uin13","uin325","uinChF","uinMF","mu1","mu2","pH_m","pH_SD","eH","Conductivity..ms.cm.","u_sal"
"3",-1.32790214206428,-110.145385,36.28272,1981.6,1,0,0,0,0,0,0,7.25,1.06066017177982,NA,NA,500
"4",0.510473294214724,-110.06177,36.343715,2043.3,0,0,0,0,0,0,0,6.9,1.5556349186104,NA,NA,0
"5",1.35850942154882,-111.4413,36.03383,1383.5,0,0,0,1,0,0,0,8,NA,NA,NA,0
"6",0.815200573156856,-111.3951,36.18942,1471.4,0,0,0,1,0,0,0,8,NA,NA,NA,0
"7",1.38665039728473,-111.65994,36.60646,1567,0,0,0,1,0,0,0,7,NA,NA,NA,0
"8",0.158941570512352,-111.62098,36.77431,1212.3,0,0,0,1,0,0,0,NA,NA,NA,NA,0
"9",0.431811004764512,-111.442785,36.30107,1668,0,0,0,1,0,0,0,6.25,0.577350269189626,NA,NA,0
"10",1.16713265133341,-111.39595,35.86116,1279.7,0,0,0,1,0,0,5,6.9,NA,NA,NA,0
"11",1.34868131142743,-111.41327,35.87516,1283,0,0,0,1,0,0,3,6.8,NA,NA,NA,0
"14",0.483229071638152,-111.40679,35.76908,1345.9,0,0,0,1,0,0,0,8.1,NA,NA,8.075,0
"15",1.79143029696417,-111.36797,35.75493,1318.9,0,0,0,1,0,0,4,8.14,NA,NA,1.689,0
"16",1.15543924832621,-111.44999,35.85382,1355.5,0,0,0,1,0,0,0,8,NA,NA,NA,0
"17",1.72933905805742,-110.05368,36.74711,1617.4,1,0,0,0,1,2,2,8.52,NA,NA,841.9,500
"18",0.309147829725875,-109.9806255,36.503695,1837.3,0,1,0,0,1,0,0,8.77,1.08894444302728,NA,478.4,2000
"19",0.0905471771592705,-110.02264,36.56153,1725.2,0,1,0,0,1,0,0,9.5,NA,NA,761.6,2000
"21",0.815554268140423,-109.62067,36.082015,1787.5,1,0,0,1,0,0,0,7.5,NA,NA,NA,500
"22",1.39151255768853,-109.600595,36.266615,1640.2,1,0,0,1,0,0,0,7,1.4142135623731,NA,NA,500
"23",-0.269499428153029,-109.28568,36.18132,2158.9,1,0,0,1,0,0,0,7,NA,NA,NA,500
"25",0.847452036848399,-109.5713,36.16245,1674.4,1,0,0,1,0,0,0,8,NA,NA,NA,500
"26",0.253331399959738,-109.50053,36.29321,1790.1,1,0,0,1,0,0,0,8,NA,NA,NA,500
"28",0.271329395260054,-109.5801,36.11861,1685,1,0,0,1,0,0,0,8,NA,NA,NA,500
"32",0.986946921786397,-111.2801,35.68085,1359.5,0,0,0,1,0,0,0,6.8,NA,NA,NA,0
"36",-1.32790214206428,-111.06793,35.94975,1774.1,0,0,0,0,0,0,0,6.8,NA,NA,NA,0
"38",-1.32790214206428,-111.0185,35.91661,1785.6,0,0,0,0,0,0,0,6.8,NA,NA,NA,0
"46",-1.30825008093021,-111.01833,35.91667,1785.7,0,0,0,0,0,0,0,6,NA,NA,NA,0
"48",2.6907684568157,-111.34025,35.87436,1287,0,0,1,1,0,0,0,9,NA,NA,NA,14000
"49",1.7760372206788,-111.26031,35.70103,1311.1,0,0,0,1,0,0,0,7.5,NA,NA,NA,0
"30",2.169130121844,-111.10228,35.687185,1433.1,0,0,1,0,0,0,0,7.99,0.834386001800126,NA,2.116,14000
"31",1.52753407237502,-111.19633,35.64065,1450.5,0,0,1,1,0,0,0,8.01,0.862670273047587,NA,1.746,14000
"33",0.648027790628115,-111.355535,35.8379,1267.8,0,0,0,1,0,2,3,7.15,0.494974746830583,NA,NA,0
"34",0.625239350120347,-111.207945,36.037785,1603.8,0,0,0,0,0,0,0,6.25,0.353553390593274,NA,NA,0
"35",-1.32790214206428,-111.048425,36.011555,1781.1,1,0,0,0,0,0,0,6.4,0.565685424949238,NA,NA,500
"37",-1.32790214206428,-111.059675,35.918285,1807.1,0,0,0,0,0,0,0,6.4,0.565685424949238,NA,NA,0
"39",0.406087630644141,-111.034345,35.84152,1676.4,0,1,0,0,0,0,0,6.25,0.353553390593274,NA,NA,2000
"40",-1.32790214206428,-111.04372,35.792495,1663.8,0,1,0,0,0,0,0,6.4,0.565685424949238,NA,NA,2000
"41",0.88091410748682,-111.313445,35.710965,1284,0,0,0,1,0,2,6,9.075,0.106066017177982,NA,18.6,0
"56",-0.294512523893481,-111.45432,36.61814,1812.5,0,0,0,0,0,1,1,6,NA,NA,NA,0
"53",0.124444187463447,-111.41819,36.394075,1659.1,0,0,0,0,0,0,0,6.6,0.565685424949238,NA,NA,0
"55",-0.10817261936845,-111.398955,36.552645,1838.9,0,0,0,0,0,0,0,5.95,0.0707106781186545,NA,NA,0
